cid,name,type,notnull,dflt_value,pk
0,id,INTEGER,0,null,1
1,exec_date,TEXT,0,null,0
2,bd_date,TEXT,0,null,0
3,bd_btime,TEXT,0,null,0
4,bd_etime,TEXT,0,null,0
5,other_broad_name,TEXT,0,null,0
6,other_btime,TEXT,0,null,0
7,other_product_name,TEXT,0,null,0
8,other_item_desc,TEXT,0,null,0
9,match_score,INTEGER,0,null,0
10,sche_sml_score,REAL,0,null,0
11,item_sml_score,REAL,0,null,0
12,comp_alert,TEXT,0,null,0
13,raw_data,TEXT,0,null,0
14,other_etime,TEXT,0,null,0
15,product_sale_price,INTEGER,0,null,0
16,weights_time,REAL,0,null,0
